Place,Crop_Name,Year,Area_Planted,Total_production,Rainfall,Humidity,Temperature,Pesticides,Soil_ph,N,P,K
Gwanda,Wheat,1998,613,28037,1485,80.14509262,26,439.89,6.903985986,83,60,36
Gwanda,Maize,1999,531,37455,1485,84.81360127,24,502.86,6.271478838,82,40,40
Gwanda,Potatoes,1999,124,142018,1485,82.36698992,26,502.86,7.224285503,85,52,45
Gwanda,Soybeans,1999,259,17143,1485,80.52586088,25,502.86,6.13428721,91,35,38
Gwanda,Wheat,1999,250,24954,1485,84.47963372,25,502.86,5.206373153,76,49,42
Gwanda,Maize,2000,44,38811,1485,84.59201843,23,565.82,7.782051313,74,39,38
Gwanda,Potatoes,2000,213,141228,1485,80.70960551,22,565.82,7.062779015,79,43,39
Gwanda,Soybeans,2000,77,15000,1485,80.41363018,25,565.82,7.730367824,88,55,45
Gwanda,Wheat,2000,1,30455,1485,83.06310136,23,565.82,5.286203711,60,36,43
Gwanda,Maize,2001,9,38135,1485,80.3477562,20,628.79,6.766240045,76,60,39
Gwanda,Potatoes,2001,1484,148818,1485,82.22572988,24,628.79,7.382762603,93,56,42
Gwanda,Soybeans,2001,1276,20000,1485,81.89918197,22,628.79,5.658169482,65,60,43
Gwanda,Wheat,2001,112,28220,1485,83.83625819,26,628.79,5.543360238,95,52,36
Gwanda,Maize,2002,1309,39460,1485,84.79352417,23,691.75,6.215109715,75,38,39
Gwanda,Potatoes,2002,432,153868,1485,83.47021081,26,691.75,7.120272972,74,54,38
Gwanda,Soybeans,2002,1431,20000,1485,82.45432595,24,691.75,5.950647577,91,36,45
Gwanda,Wheat,2002,611,31617,1485,82.1235421,20,691.75,7.236705436,71,46,40
Gwanda,Maize,2004,381,46197,1485,80.2389895,22,817.68,6.501697816,99,55,35
Gwanda,Potatoes,2004,289,149346,1485,82.20802629,20,817.68,7.592490617,72,40,38
Gwanda,Soybeans,2004,336,13333,1485,83.51827127,26,817.68,5.875345751,83,58,45
Gwanda,Wheat,2004,503,31130,1485,83.77345559,21,817.68,6.932400225,93,58,38
Gwanda,Maize,2005,8,45442,1485,80.72886384,22,880.64,6.946209881,70,36,42
Gwanda,Potatoes,2005,743,167061,1485,83.29114712,20,880.64,5.739175027,76,47,42
Gwanda,Soybeans,2005,1296,17500,1485,82.74835604,24,880.64,6.738652179,99,41,36
Gwanda,Wheat,2005,322,31582,1485,80.33502926,21,880.64,5.594819626,99,54,37
Gwanda,Maize,2006,1230,50111,1485,82.11124033,26,943.61,6.946636369,86,59,35
Gwanda,Potatoes,2006,347,170745,1485,80.28597873,24,943.61,5.012139669,69,46,41
Gwanda,Soybeans,2006,310,20000,1485,80.56887849,23,943.61,6.363472208,91,56,37
Gwanda,Wheat,2006,2854,30787,1485,83.891805,25,943.61,6.880431223,61,52,41
Gwanda,Maize,2007,1552,46732,1485,82.1706881,23,1006.57,7.300410836,67,45,38
Gwanda,Potatoes,2007,424,188902,1485,82.84022551,25,1006.57,6.587918708,79,42,37
Gwanda,Soybeans,2007,1333,20000,1485,83.00320459,21,1006.57,7.283736617,78,43,42
Gwanda,Wheat,2007,428,35496,1485,84.56919326,26,1006.57,7.023936392,75,54,36
Gwanda,Maize,2008,2697,50000,1485,81.85872947,22,1069.54,6.939083505,97,36,45
Gwanda,Potatoes,2008,530,193878,1485,81.78596776,27,1069.54,7.868474653,67,47,44
Gwanda,Soybeans,2008,341,20000,1485,81.97927117,25,1069.54,5.005306977,73,35,38
Gwanda,Wheat,2008,848,40168,1485,81.46033732,27,1069.54,6.136131869,77,36,37
Gwanda,Maize,2009,667,55693,1485,83.72874389,23,1132.5,7.524080076,81,41,38
Gwanda,Potatoes,2009,1209,219780,1485,80.37979919,26,1132.5,5.706943251,68,57,43
Gwanda,Soybeans,2009,1227,16667,1485,82.94682591,25,1132.5,5.758506323,72,45,35
Gwanda,Wheat,2009,351,40229,1485,81.05635517,26,1132.5,6.349606327,61,53,43
Gwanda,Maize,2010,367,66790,1485,84.96907151,26,1311.17,5.999969026,67,43,39
Gwanda,Potatoes,2010,110,231111,1485,80.54372813,25,1311.17,5.453592032,67,58,39
Gwanda,Soybeans,2010,164,16667,1485,83.47038318,22,1311.17,6.372576327,66,60,38
Gwanda,Wheat,2010,118,39905,1485,81.43321641,23,1311.17,5.105588355,82,43,38
Gwanda,Maize,2011,1026,59869,1485,81.40633547,25,1302.63,5.935344406,84,50,44
Gwanda,Potatoes,2011,1553,242211,1485,81.03569343,24,1302.63,5.17782304,81,53,42
Gwanda,Soybeans,2011,138,18519,1485,84.1341879,21,1302.63,6.462391607,91,50,40
Gwanda,Wheat,2011,251,42301,1485,81.91411159,27,1302.63,7.069172227,93,53,38
Gwanda,Maize,2012,85,67290,1485,83.88387074,24,766.25,7.473134377,90,44,38
Gwanda,Potatoes,2012,546,250538,1485,80.12267476,27,766.25,6.158376967,81,45,35
Gwanda,Soybeans,2012,232,13333,1485,83.85642678,26,766.25,7.549873681,78,40,38
Gwanda,Wheat,2012,76,41096,1485,82.81088865,23,766.25,6.028321558,60,51,36
Gwanda,Maize,2013,7,69533,1485,83.46358271,23,982.32,6.604993475,88,46,42
Gwanda,Potatoes,2013,1415,260110,1485,82.14004101,22,982.32,6.500343222,93,47,37
Gwanda,Soybeans,2013,907,10000,1485,83.3293191,21,982.32,5.935745417,60,55,45
Gwanda,Wheat,2013,173,41292,1485,84.67353597,27,982.32,7.072655622,78,35,44
Gwanda,Maize,1990,1106,16500,89,83.59512273,23,1828.92,5.333322606,65,37,40
Gwanda,Potatoes,1990,218,78936,89,63.69070564,23,1828.92,5.749914421,71,54,16
Gwanda,"Rice, paddy",1990,1736,28000,89,71.57476937,26,1828.92,6.931756558,61,44,17
Gwanda,Sorghum,1990,440,16571,89,71.59351368,24,1828.92,6.657964753,80,43,16
Gwanda,Wheat,1990,622,6315,89,57.68272924,20,1828.92,6.596060648,73,58,21
Gwanda,Maize,1991,716,19231,89,62.69503871,18,2461.8,5.970458434,61,38,20
Gwanda,Potatoes,1991,868,90747,89,57.80840636,22,2461.8,6.158830619,68,41,16
Gwanda,"Rice, paddy",1991,934,26786,89,66.50415474,26,2461.8,6.047906679,93,41,17
Gwanda,Sorghum,1991,712,24231,89,66.6902901,25,2461.8,5.913664501,89,60,19
Gwanda,Wheat,1991,452,10809,89,62.5542482,20,2461.8,5.855442401,76,44,17
Gwanda,Maize,1992,102,22828,89,66.78627406,25,1215.47,5.750254943,67,60,25
Gwanda,Potatoes,1992,114,107917,89,73.4541537,23,1215.47,5.852607099,70,44,19
Gwanda,"Rice, paddy",1992,246,24733,89,68.3584573,25,1215.47,6.472523287,90,49,21
Gwanda,Sorghum,1992,549,40000,89,58.84015925,22,1215.47,6.967057762,62,52,16
Gwanda,Wheat,1992,394,9939,89,65.76816093,19,1215.47,6.082973754,92,44,16
Gwanda,Maize,1993,160,12500,89,60.2001687,25,1021.89,5.919045532,66,54,21
Gwanda,Potatoes,1993,151,111215,89,55.28220433,18,1021.89,6.204747653,63,58,22
Gwanda,"Rice, paddy",1993,684,23111,89,70.4162444,25,1021.89,6.600827017,70,47,17
Gwanda,Sorghum,1993,429,50000,89,65.26185135,25,1021.89,6.021902237,61,41,17
Gwanda,Wheat,1993,82,8097,89,60.1159381,23,1021.89,6.033550195,66,53,19
Gwanda,Maize,1994,229,4512,89,62.89366992,18,1255.02,6.28886807,74,55,19
Gwanda,Potatoes,1994,368,95078,89,73.80435276,25,1255.02,6.550563823,77,57,21
Gwanda,"Rice, paddy",1994,320,21374,89,71.09445342,18,1255.02,5.573286437,99,50,15
Gwanda,Wheat,1994,633,7999,89,66.65952796,18,1255.02,6.829199275,74,56,22
Gwanda,Maize,1995,236,16115,89,58.75082029,19,2697.09,5.716222912,83,45,21
Gwanda,Potatoes,1995,261,136768,89,67.22190688,26,2697.09,5.54990242,100,48,16
Gwanda,"Rice, paddy",1995,282,19598,89,68.49835977,25,2697.09,6.586244581,79,51,16
Gwanda,Sorghum,1995,240,12667,89,57.48775781,24,2697.09,5.893093135,94,39,18
Gwanda,Wheat,1995,37,8924,89,71.50905983,22,2697.09,5.918263801,75,49,15
Gwanda,Maize,1996,24,17154,89,63.10459626,23,479.77,5.588650585,78,48,22
Gwanda,Potatoes,1996,544,134629,89,63.4711755,26,479.77,6.576418207,87,54,20
Gwanda,"Rice, paddy",1996,669,17861,89,63.1621551,21,479.77,6.178056304,87,35,25
Gwanda,Sorghum,1996,1163,14750,89,55.53128131,19,479.77,6.641906353,63,43,19
Gwanda,Wheat,1996,246,13090,89,67.99257471,23,479.77,6.489040367,84,57,25
Gwanda,Maize,1997,244,21417,89,61.89472002,23,401.22,5.680361038,64,35,23
Gwanda,Potatoes,1997,246,141042,89,65.61418761,25,401.22,6.625404348,60,46,22
Gwanda,"Rice, paddy",1997,86,15000,89,74.089114,26,401.22,6.524478032,98,44,21
Gwanda,Sorghum,1997,58,40000,89,62.35750641,19,401.22,5.696205468,75,56,18
Gwanda,Wheat,1997,98,8016,89,59.64024162,22,401.22,6.803931519,86,55,21
Gwanda,Maize,1998,11,17222,89,74.82913698,24,322.84,6.252797548,98,35,18
Gwanda,Potatoes,1998,262,160256,89,74.52600826,19,322.84,6.092725883,76,57,18
Gwanda,"Rice, paddy",1998,157,15000,89,73.13112261,24,322.84,6.234330356,99,56,17
Gwanda,Sorghum,1998,498,24500,89,70.04556743,25,322.84,5.722579819,60,44,23
Gwanda,Wheat,1998,206,8847,89,60.27766379,22,322.84,6.430616465,74,48,17
Gwanda,Maize,1999,21,22375,89,57.21025565,25,654.45,5.983952675,89,60,17
Gwanda,Potatoes,1999,76,153532,89,72.85462807,22,654.45,6.80163854,69,51,23
Gwanda,"Rice, paddy",1999,59,13942,89,69.00128641,21,654.45,6.499936446,96,46,22
Gwanda,Sorghum,1999,8,27000,89,68.74248334,25,654.45,6.265564338,61,60,15
Gwanda,Wheat,1999,163,10711,89,56.35606753,20,654.45,6.727303282,74,58,18
Gwanda,Maize,2000,670,36186,89,61.89082199,26,603.67,6.325235159,74,43,23
Gwanda,Potatoes,2000,1607,166143,89,65.47050802,19,603.67,6.807487794,63,43,17
Gwanda,"Rice, paddy",2000,1389,13052,89,65.34583901,21,603.67,6.671085817,99,36,20
Gwanda,Sorghum,2000,191,69500,89,56.73426469,25,603.67,6.648725327,77,36,23
Gwanda,Wheat,2000,1221,9194,89,63.91281869,20,603.67,6.439071996,87,60,23
Gwanda,Maize,2001,698,27175,89,64.23580251,18,710.11,6.474476516,60,38,17
Gwanda,Potatoes,2001,1188,147018,89,61.74427165,23,710.11,5.871647806,94,54,17
Gwanda,"Rice, paddy",2001,28,12314,89,61.24500053,20,710.11,5.730617109,95,38,22
Gwanda,Sorghum,2001,129,27750,89,61.91044947,22,710.11,5.850439831,84,44,21
Gwanda,Wheat,2001,251,11104,89,56.50768935,23,710.11,5.791649933,77,58,19
Gwanda,Maize,2002,773,33480,89,69.02298571,19,816.55,6.740000688,66,44,20
Gwanda,Potatoes,2002,119,183774,89,65.35549924,22,816.55,6.272417541,63,35,16
Gwanda,"Rice, paddy",2002,353,12959,89,59.24537979,24,816.55,5.715208817,79,45,20
Gwanda,Sorghum,2002,40,33900,89,69.0276233,19,816.55,5.773454729,72,60,25
Gwanda,Wheat,2002,53,10739,89,61.32026065,24,816.55,5.584171461,67,51,24
Gwanda,Maize,2004,192,31729,89,72.89187265,27,3747.86,5.787268394,86,36,24
Gwanda,Potatoes,2004,40,203585,89,69.63481219,19,3747.86,5.77597783,76,48,18
Gwanda,"Rice, paddy",2004,4,12829,89,59.4375337,21,3747.86,6.864793607,75,53,18
Gwanda,Sorghum,2004,116,43316,89,68.034493,19,3747.86,6.192360003,81,45,23
Gwanda,Wheat,2004,1738,13582,89,73.58868502,25,3747.86,6.636803223,73,45,21
Gwanda,Maize,2005,933,33864,89,59.52193158,22,3662.87,5.826426917,71,35,24
Gwanda,Potatoes,2005,115,216267,89,61.33450447,26,3662.87,6.960358276,96,54,22
Gwanda,"Rice, paddy",2005,119,12998,89,68.30578978,19,3662.87,6.11275104,99,39,18
Gwanda,Sorghum,2005,747,33486,89,60.47470519,22,3662.87,6.708446922,62,48,20
Gwanda,Wheat,2005,330,15057,89,59.21235483,21,3662.87,5.561510732,86,37,16
Gwanda,Maize,2006,453,65668,89,73.62548442,23,4110.72,5.873242491,94,50,19
Gwanda,Potatoes,2006,72,220689,89,55.64709899,24,4110.72,6.995843776,76,39,24
Gwanda,"Rice, paddy",2006,3233,12769,89,65.7420046,25,4110.72,5.714799723,77,52,17
Gwanda,Sorghum,2006,283,56728,89,65.77472881,23,4110.72,6.78073637,74,39,23
Gwanda,Wheat,2006,5,15068,89,60.61494304,18,4110.72,5.513697923,81,49,20
Gwanda,Maize,2007,3,85625,89,72.33125523,23,5390.79,5.798423908,63,42,21
Gwanda,Potatoes,2007,1146,189927,89,71.59722446,23,5390.79,6.352471866,99,38,21
Gwanda,"Rice, paddy",2007,88,13375,89,69.36385721,26,5390.79,6.822586546,90,52,25
Gwanda,Sorghum,2007,6,119059,89,66.20569924,26,5390.79,6.655426355,68,40,19
Gwanda,Wheat,2007,116,12742,89,61.55327249,19,5390.79,6.121294041,60,57,24
Gwanda,Maize,2008,21,44714,89,55.97732754,25,11556.12,5.790770203,71,52,18
Gwanda,Potatoes,2008,294,236393,89,59.24580604,23,11556.12,6.47444292,61,59,17
Gwanda,"Rice, paddy",2008,152,13952,89,65.92195844,25,11556.12,6.455116637,88,38,15
Gwanda,Sorghum,2008,86,61786,89,72.52054555,25,11556.12,6.606984086,65,60,22
Gwanda,Wheat,2008,120,11038,89,63.31801994,25,11556.12,6.330554389,78,37,22
Gwanda,Maize,2009,30,30914,89,67.816568,25,3867.99,6.528631266,78,58,15
Gwanda,Potatoes,2009,321,250764,89,71.516474,19,3867.99,5.721667141,92,60,23
Gwanda,"Rice, paddy",2009,16,14594,89,63.73849998,20,3867.99,6.644205485,79,59,17
Gwanda,Sorghum,2009,41,90465,89,72.61024172,18,3867.99,6.376651091,91,55,15
Gwanda,Wheat,2009,72,15975,89,71.96246617,26,3867.99,6.247040422,76,51,18
Gwanda,Maize,2010,195,25827,89,61.37879671,19,1295.88,6.656730008,87,48,25
Gwanda,Potatoes,2010,14,270526,89,59.37147589,26,1295.88,6.2048017,71,60,22
Gwanda,"Rice, paddy",2010,220,15305,89,72.80086137,19,1295.88,6.158860284,90,57,24
Gwanda,Sorghum,2010,165,30286,89,63.24648023,23,1295.88,6.385684214,67,35,22
Gwanda,Wheat,2010,34,14838,89,62.49878458,19,1295.88,6.417820493,60,54,19
Gwanda,Maize,2011,151,23374,89,59.66263104,20,13861.76,6.381201909,83,58,23
Gwanda,Potatoes,2011,10,292806,89,70.74739256,26,13861.76,6.877869005,83,57,19
Gwanda,"Rice, paddy",2011,2,16081,89,16.98861173,17,13861.76,7.485996067,40,72,77
Gwanda,Sorghum,2011,403,100000,89,17.13159126,19,13861.76,6.920251378,23,72,84
Gwanda,Wheat,2011,3,17405,89,15.40589717,18,13861.76,5.996932037,39,58,85
Gwanda,Maize,2012,145,25583,89,15.65809214,19,17379.76,6.391173589,22,72,85
Gwanda,Potatoes,2012,292,304291,89,19.56381041,18,17379.76,7.152811172,36,67,77
Gwanda,"Rice, paddy",2012,189,16667,89,15.40312102,20,17379.76,5.988992796,32,73,81
Gwanda,Sorghum,2012,8,206000,89,16.60820843,21,17379.76,6.231049028,58,70,84
Gwanda,Wheat,2012,413,17639,89,18.74926979,17,17379.76,7.550808267,59,70,84
Gwanda,Maize,2013,574,33649,89,18.90426935,18,17278.65,7.010570541,42,62,75
Gwanda,Potatoes,2013,33,303218,89,18.30968112,18,17278.65,8.753795334,28,74,81
Gwanda,"Rice, paddy",2013,631,17778,89,19.33470387,21,17278.65,8.718192847,58,66,79
Gwanda,Sorghum,2013,209,60000,89,15.22538951,19,17278.65,7.976607593,43,66,79
Gwanda,Wheat,2013,23,19100,89,14.69765308,20,17278.65,6.515499549,58,63,81
Gwanda,Cassava,1990,9,41177,1010,19.5161216,19,64,8.490127142,23,62,85
Gwanda,Maize,1990,19,2736,1010,14.71070537,18,64,6.576415562,27,62,77
Gwanda,Potatoes,1990,26,40000,1010,19.18197264,19,64,6.481783043,28,72,84
Gwanda,"Rice, paddy",1990,371,9512,1010,19.8601304,21,64,7.966605025,50,56,76
Gwanda,Sweet potatoes,1990,49,89342,1010,16.39535215,20,64,8.140825437,39,71,84
Gwanda,Wheat,1990,10,7995,1010,15.7559405,17,64,7.228963452,25,78,76
Gwanda,Cassava,1991,16,40295,1010,14.32313811,21,79,6.492546046,31,70,77
Gwanda,Maize,1991,17,4013,1010,16.14565756,17,79,7.528599957,26,80,83
Gwanda,Potatoes,1991,123,40000,1010,15.11279612,20,79,7.701446446,25,68,77
Gwanda,"Rice, paddy",1991,154,10000,1010,14.99927489,18,79,8.519975748,31,78,76
Gwanda,Sweet potatoes,1991,56,83001,1010,18.43475844,19,79,6.620900869,60,68,83
Gwanda,Wheat,1991,26,8000,1010,19.22008229,19,79,8.104396058,59,62,83
Gwanda,Cassava,1992,574,42295,1010,14.42457525,17,23,6.204090835,22,67,78
Gwanda,Maize,1992,91,3778,1010,16.67921616,18,23,6.051091339,36,65,80
Gwanda,Potatoes,1992,104,40000,1010,18.66725565,19,23,7.690962338,59,60,84
Gwanda,"Rice, paddy",1992,400,9106,1010,17.0662427,17,23,7.829211144,54,77,85
Gwanda,Sweet potatoes,1992,77,90000,1010,17.93253975,17,23,6.761599706,43,68,81
Gwanda,Wheat,1992,310,8000,1010,14.25803981,21,23,6.654425315,28,76,82
Gwanda,Cassava,1993,157,42295,1010,15.82069268,17,169,6.129533877,42,79,85
Gwanda,Maize,1993,85,2627,1010,19.44225438,20,169,8.829273328,32,60,83
Gwanda,Potatoes,1993,713,70000,1010,19.09172907,18,169,8.621662982,22,78,76
Gwanda,"Rice, paddy",1993,335,8000,1010,16.1074793,19,169,8.204862075,31,79,75
Gwanda,Sweet potatoes,1993,747,88095,1010,16.54314829,17,169,6.18042747,28,58,81
Gwanda,Wheat,1993,22,8876,1010,17.58406365,19,169,7.978996755,57,58,77
Gwanda,Cassava,1994,707,58596,1010,16.17772668,19,25.5,7.863113671,49,55,78
Gwanda,Maize,1994,188,2463,1010,19.68538502,18,25.5,6.967843048,46,76,77
Gwanda,Potatoes,1994,340,90000,1010,15.21618225,19,25.5,6.206582193,54,61,77
Gwanda,"Rice, paddy",1994,12,8750,1010,17.80852431,19,25.5,8.868741443,38,60,76
Gwanda,Sweet potatoes,1994,96,83192,1010,16.89574311,20,25.5,8.766128654,59,55,79
Gwanda,Wheat,1994,37,10000,1010,16.63805158,18,25.5,8.736337905,36,76,75
Gwanda,Cassava,1995,3,51000,1010,17.30457712,17,336,8.081095263,57,68,81
Gwanda,Maize,1995,93,3517,1010,15.77458129,19,336,6.138243973,35,66,81
Gwanda,Potatoes,1995,610,76738,1010,14.27327988,18,336,7.496645259,35,64,78
Gwanda,"Rice, paddy",1995,106,14615,1010,18.23490739,19,336,8.380185271,52,60,79
Gwanda,Sweet potatoes,1995,12,81138,1010,14.92241479,19,336,6.289614016,27,76,83
Gwanda,Wheat,1995,116,11855,1010,17.26184541,19,336,6.586777189,57,60,84
Gwanda,Cassava,1996,16,48077,1010,16.96070581,17,40,6.89655198,52,68,78
Gwanda,Maize,1996,112,6993,1010,18.98030507,19,40,7.806747656,43,79,79
Gwanda,Potatoes,1996,242,70000,1010,19.63719995,20,40,7.150681303,44,74,85
Gwanda,"Rice, paddy",1996,425,17500,1010,15.15405941,17,40,6.64919573,24,55,78
Gwanda,Sweet potatoes,1996,922,85455,1010,15.48083156,18,40,7.778591618,29,77,75
Gwanda,Wheat,1996,737,13738,1010,14.70085967,18,40,6.358740355,20,60,78
Gwanda,Cassava,1997,10,44205,1010,16.71826572,18,40,8.255450758,56,67,78
Gwanda,Maize,1997,6,5959,1010,18.91295403,21,40,6.456148474,37,66,85
Gwanda,Potatoes,1997,117,68571,1010,17.63879418,20,40,6.613072145,49,71,76
Gwanda,"Rice, paddy",1997,296,20000,1010,17.86754927,19,40,8.165359297,59,69,80
Gwanda,Sweet potatoes,1997,923,78098,1010,16.02542689,19,40,7.64867466,20,79,77
Gwanda,Wheat,1997,303,15509,1010,17.41333199,18,40,6.545888558,24,56,85
Gwanda,Cassava,1998,835,55728,1010,14.99451145,19,40,7.104224797,51,72,75
Gwanda,Maize,1998,902,7396,1010,14.72115044,18,40,7.358099622,57,73,85
Gwanda,Potatoes,1998,657,62724,1010,17.17260319,19,40,6.4740245,22,64,82
Gwanda,"Rice, paddy",1998,352,20000,1010,18.74943955,17,40,7.840339389,52,73,79
Gwanda,Sweet potatoes,1998,15,76256,1010,18.71483156,20,40,7.064790365,29,75,75
Gwanda,Wheat,1998,18,17143,1010,19.85388984,21,40,7.599033472,44,59,78
Gwanda,Cassava,1999,112,59821,1010,16.63294455,20,40,6.715587232,41,69,82
Gwanda,Maize,1999,253,6361,1010,14.44228303,20,40,6.81712422,52,56,85
Gwanda,Potatoes,1999,247,54597,1010,15.84572566,21,40,7.985417393,34,76,80
Gwanda,"Rice, paddy",1999,543,14235,1010,14.2804191,19,40,7.545258424,42,74,83
Gwanda,Sweet potatoes,1999,246,82865,1010,15.85622899,18,40,7.728998197,34,71,79
Gwanda,Wheat,1999,298,17391,1010,15.83500655,19,40,7.354973451,27,73,79
Gwanda,Cassava,2000,696,82992,1010,19.96978871,20,40,7.313122235,30,70,79
Gwanda,Maize,2000,13,5745,1010,18.25142068,17,40,7.785039076,57,57,75
Gwanda,Potatoes,2000,110,29885,1010,17.54024066,17,40,6.307004923,27,79,82
Gwanda,"Rice, paddy",2000,311,13454,1010,14.44008871,21,40,6.403982316,32,71,85
Gwanda,Sorghum,2000,374,3333,1010,17.85057083,21,40,7.599279991,31,76,82
Gwanda,Soybeans,2000,104,2333,1010,18.72831993,19,40,7.217018459,33,75,84
Gwanda,Sweet potatoes,2000,130,34938,1010,16.42891834,17,40,7.561108006,47,80,77
Gwanda,Wheat,2000,194,17023,1010,16.39055394,17,40,7.489545074,54,62,80
Gwanda,Cassava,2001,155,94072,1010,14.76014523,17,40,6.609696734,47,79,78
Gwanda,Maize,2001,99,5754,1010,17.44534641,19,40,7.476800943,35,57,83
Gwanda,Potatoes,2001,7,42552,1010,18.09665739,20,40,7.325451279,53,73,77
Gwanda,"Rice, paddy",2001,40,13701,1010,16.06240074,19,40,6.489389282,45,61,78
Gwanda,Sorghum,2001,220,3571,1010,14.82633099,20,40,7.786366322,37,78,79
Gwanda,Soybeans,2001,87,2500,1010,16.80472243,19,40,6.408437886,30,75,81
Gwanda,Sweet potatoes,2001,195,44458,1010,18.02235902,19,40,8.423873703,37,55,82
Gwanda,Wheat,2001,142,16667,1010,16.41998269,20,40,8.719960893,53,65,76
Gwanda,Cassava,2002,46,110071,1010,14.74071856,19,40,7.811997977,22,60,85
Gwanda,Maize,2002,25,6706,1010,19.83643308,21,40,6.317153205,60,61,78
Gwanda,Potatoes,2002,131,42754,1010,15.9362937,19,40,7.114405288,42,67,77
Gwanda,"Rice, paddy",2002,132,13198,1010,15.57324389,20,40,8.135900726,39,76,76
Gwanda,Sorghum,2002,39,3400,1010,17.60756635,18,40,7.714153038,35,63,76
Gwanda,Soybeans,2002,180,2857,1010,15.27824066,21,40,7.103798069,30,65,82
Gwanda,Sweet potatoes,2002,259,42190,1010,18.75626255,17,40,8.861479668,57,56,78
Gwanda,Wheat,2002,689,15455,1010,14.33847406,17,40,7.861128148,48,65,78
Gwanda,Cassava,2004,238,125605,1010,19.76182946,19,40,7.4526709,36,56,83
Gwanda,Maize,2004,119,5404,1010,14.77959596,19,40,7.168096055,40,58,75
Gwanda,Potatoes,2004,12,20150,1010,15.36143547,18,40,7.26311855,49,69,82
